지역,아파트명,전용면적,거래금액,층,건축년도
대구광역시 남구 대명동,대명헤리티지,84.6,40800.0,12,2022
대구광역시 남구 봉덕동,앞산봉덕영무예다음,84.839,52000.0,12,2020
대구광역시 남구 봉덕동,앞산태왕아너스,84.9817,41000.0,6,2019
대구광역시 남구 봉덕동,앞산태왕아너스,84.9817,48000.0,15,2019
대구광역시 남구 봉덕동,앞산태왕아너스,84.9619,45200.0,15,2019
대구광역시 달서구 감삼동,죽전역동화아이위시,84.8357,49000.0,5,2022
대구광역시 달서구 대곡동,수목원제일풍경채,99.94,51000.0,16,2018
대구광역시 달서구 대천동,월배삼정그린코아포레스트,118.6046,61000.0,1,2021
대구광역시 달서구 대천동,월배삼정그린코아포레스트,84.5453,51000.0,12,2021
대구광역시 달서구 상인동,상인역모아엘가파크뷰,84.89,47000.0,16,2019
대구광역시 달서구 월성동,월성삼정그린코아에듀파크,84.6758,45000.0,12,2022
대구광역시 달서구 월성동,월성삼정그린코아에듀파크,84.6349,48100.0,22,2022
대구광역시 달서구 월성동,월성협성휴포레,84.9675,47500.0,2,2016
대구광역시 달서구 월성동,월성협성휴포레,84.9675,53000.0,19,2016
대구광역시 달서구 월성동,월성협성휴포레,84.9664,56000.0,16,2016
대구광역시 달서구 월성동,월성협성휴포레,84.9675,50800.0,27,2016
대구광역시 달서구 유천동,대구월배2차아이파크,84.2245,48000.0,23,2016
대구광역시 달서구 유천동,대구월배2차아이파크,84.5402,48800.0,6,2016
대구광역시 달서구 유천동,대구월배2차아이파크,84.345,52000.0,19,2016
대구광역시 달서구 유천동,대구월배2차아이파크,84.2245,48000.0,20,2016
대구광역시 달서구 유천동,대구월배2차아이파크,84.2245,46700.0,18,2016
대구광역시 달서구 유천동,대구월배2차아이파크,101.3601,59900.0,4,2016
대구광역시 달서구 유천동,대구월배2차아이파크,84.2245,48700.0,8,2016
대구광역시 달서구 유천동,대구월배2차아이파크,101.3601,65000.0,21,2016
대구광역시 달서구 유천동,대구월배2차아이파크,101.3601,64500.0,19,2016
대구광역시 달서구 유천동,진천역AK그랑폴리스,84.8541,41750.0,3,2013
대구광역시 달서구 유천동,진천역AK그랑폴리스,84.9195,44900.0,10,2013
대구광역시 달서구 유천동,진천역AK그랑폴리스,84.9663,40500.0,18,2013
대구광역시 달서구 유천동,진천역AK그랑폴리스,84.9195,44800.0,21,2013
대구광역시 달서구 유천동,진천역AK그랑폴리스,84.8541,38500.0,8,2013
대구광역시 달서구 유천동,진천역AK그랑폴리스주상복합,84.7138,42000.0,4,2013
대구광역시 달서구 유천동,현대아이파크,84.9701,44300.0,11,2015
대구광역시 달서구 유천동,현대아이파크,84.9952,55000.0,26,2015
대구광역시 달서구 장기동,코오롱하늘채,84.9438,55000.0,5,2019
대구광역시 달서구 진천동,계룡리슈빌,121.1541,50000.0,25,2011
대구광역시 달성군 구지면 응암리,달성화성파크드림,84.8978,21700.0,6,2011
대구광역시 달성군 구지면 응암리,달성화성파크드림,84.9695,17000.0,17,2011
대구광역시 달성군 구지면 응암리,대구국가산단ZOOM파크,84.4828,27700.0,15,2020
대구광역시 달성군 구지면 응암리,대구국가산단ZOOM파크,84.4828,27200.0,13,2020
대구광역시 달성군 구지면 응암리,대구국가산단ZOOM파크,84.3504,27600.0,24,2020
대구광역시 달성군 구지면 응암리,대구국가산단반도유보라아이비파크,84.9598,29000.0,7,2017
대구광역시 달성군 구지면 창리,대구국가산단영무예다음,84.9966,26300.0,3,2020
대구광역시 달성군 다사읍 매곡리,죽곡삼정그린코아더베스트,84.965,40500.0,30,2018
대구광역시 달성군 다사읍 매곡리,죽곡삼정그린코아더베스트,84.965,41000.0,28,2018
대구광역시 달성군 다사읍 매곡리,죽곡삼정그린코아더베스트,84.965,39900.0,11,2018
대구광역시 달성군 다사읍 매곡리,죽곡푸르지오1단지,84.6141,40000.0,2,2011
대구광역시 달성군 다사읍 서재리,메가시티태왕아너스,84.6997,40430.0,17,2022
대구광역시 달성군 다사읍 서재리,메가시티태왕아너스,114.0731,48300.0,18,2022
대구광역시 달성군 다사읍 서재리,메가시티태왕아너스,84.6997,35700.0,4,2022
대구광역시 달성군 다사읍 서재리,에코폴리스동화아이위시3차,84.9766,33000.0,22,2017
대구광역시 달성군 다사읍 세천리,다사세천한라비발디,84.287,32300.0,4,2016
대구광역시 달성군 다사읍 세천리,다사세천한라비발디,84.96,35500.0,16,2016
대구광역시 달성군 다사읍 세천리,다사세천한라비발디,84.145,31200.0,18,2016
대구광역시 달성군 다사읍 세천리,북죽곡엠코타운더솔레뉴,84.9927,28000.0,4,2016
대구광역시 달성군 다사읍 세천리,북죽곡엠코타운더솔레뉴,84.9927,30280.0,2,2016
대구광역시 달성군 다사읍 세천리,북죽곡엠코타운더솔레뉴,84.9927,33000.0,10,2016
대구광역시 달성군 다사읍 세천리,북죽곡엠코타운더솔레뉴,84.9927,29935.0,4,2016
대구광역시 달성군 다사읍 세천리,북죽곡엠코타운더솔레뉴,84.9927,31500.0,13,2016
대구광역시 달성군 다사읍 세천리,북죽곡엠코타운더솔레뉴,84.9927,30000.0,10,2016
대구광역시 달성군 다사읍 세천리,북죽곡엠코타운더솔레뉴,84.9927,31700.0,25,2016
대구광역시 달성군 다사읍 세천리,제일풍경채 프라임,84.9291,30200.0,17,2017
대구광역시 달성군 다사읍 죽곡리,죽곡 한신 휴 플러스,84.97,43200.0,27,2016
대구광역시 달성군 다사읍 죽곡리,죽곡푸르지오2단지,84.6141,45000.0,19,2012
대구광역시 달성군 다사읍 죽곡리,협성휴포레 죽곡,106.9644,63000.0,21,2018
대구광역시 달성군 다사읍 죽곡리,협성휴포레 죽곡,106.9644,62000.0,13,2018
대구광역시 달성군 옥포읍 교항리,옥포이진캐스빌8단지,84.9962,32500.0,4,2017
대구광역시 달성군 유가읍 봉리,반도유보라,84.9592,30000.0,8,2016
대구광역시 달성군 유가읍 봉리,우미린더포레스트,84.9803,29800.0,7,2015
대구광역시 달성군 유가읍 봉리,호반베르디움,84.8561,30800.0,4,2016
대구광역시 달성군 유가읍 봉리,호반베르디움2차,98.8946,35800.0,9,2016
대구광역시 달성군 유가읍 봉리,호반베르디움2차,98.4701,36500.0,15,2016
대구광역시 달성군 유가읍 봉리,호반베르디움2차,98.8946,40500.0,17,2016
대구광역시 달성군 유가읍 봉리,호반베르디움2차,98.8946,35000.0,15,2016
대구광역시 달성군 유가읍 쌍계리,대구테크노폴리스중흥에스-클래스포디움,99.9819,42000.0,17,2018
대구광역시 달성군 유가읍 쌍계리,대구테크노폴리스중흥에스-클래스포디움,99.9819,40000.0,3,2018
대구광역시 달성군 현풍읍 중리,대구테크노폴리스일동미라주더파크,84.7935,28000.0,3,2017
대구광역시 달성군 화원읍 천내리,화원이진캐스빌,84.9258,38000.0,34,2017
대구광역시 달성군 화원읍 천내리,화원이진캐스빌,84.9258,41250.0,8,2017
대구광역시 달성군 화원읍 천내리,화원이진캐스빌,84.5734,40000.0,9,2017
대구광역시 동구 각산동,각산서한이다음,84.6393,34500.0,6,2018
대구광역시 동구 각산동,각산서한이다음,84.6393,34500.0,15,2018
대구광역시 동구 각산동,대구혁신도시서한이다음,84.462,43250.0,15,2015
대구광역시 동구 방촌동,방촌로하스,84.97,26300.0,10,2015
대구광역시 동구 봉무동,대구이시아폴리스더샵2차,116.27,65000.0,15,2013
대구광역시 동구 봉무동,대구이시아폴리스더샵3차,96.86,43200.0,17,2013
대구광역시 동구 봉무동,대구이시아폴리스더샵4차,84.79,38000.0,24,2014
