"고정형CCTV지번주소","위도","경도","자치구","단속지점명","현장구분"
"개포동 1231","37.47867","127.04732","강남구","[개포4-102] KB(개포남지점) 주변","불법주정차구역"
"논현동 7-15","37.51933","127.02797","강남구","[논현1-103] 강남을지병원앞R 주변","불법주정차구역"
"논현동 4","37.51696","127.02203","강남구","[논현1-105] 에메랄드타워 주변","불법주정차구역"
"삼성동 2","37.51727","127.04236","강남구","[삼성2-112] 강남구청역1번출구 주변","불법주정차구역"
"논현동 22","37.51521","127.02264","강남구","[논현1-109] 신동아논현아파트","불법주정차구역"
"논현동 207","37.51385","127.03107","강남구","[논현2-101] 학동역3번출구 주변","불법주정차구역"
"논현동 62-7","37.52097","127.03285","강남구","[논현2-109] 마포숯불갈비 주변","불법주정차구역"
"논현동 98-2","37.51976","127.03491","강남구","[논현2-112] 두산빌딩 주변","불법주정차구역"
"논현동 90-3","37.51625","127.03454","강남구","[논현2-116] 신한금융투자 주변","불법주정차구역"
"논현동 245","37.51519","127.03763","강남구","[논현2-119] 동양파라곤101동앞 주변","불법주정차구역"
"논현동 276-2","37.5102","127.03958","강남구","[논현2-121] 아크로힐스논현 주변","불법주정차구역"
"대치동 604","37.49381","127.06123","강남구","[대치1-101] 대치상가 주변","불법주정차구역"
"대치동 1021-3","37.49836","127.05978","강남구","[대치1-107] 덕산빌딩 주변","불법주정차구역"
"대치동 1027","37.49358","127.0591","강남구","[대치1-111] 래미안대치팰리스정문주변","불법주정차구역"
"대치동 210","37.49665","127.06107","강남구","[대치1-112] 서울교회 주변","불법주정차구역"
"대치동 1014-3","37.49633","127.05991","강남구","[대치1-113] 삼성아파트 주변","불법주정차구역"
"대치동 1013","37.49682","127.0566","강남구","[대치1-114] 단대부고담장 주변","불법주정차구역"
"대치동 991","37.49961","127.06368","강남구","[대치2-107] 남성빌딩 주변","불법주정차구역"
"대치동 965-1","37.5036","127.06046","강남구","[대치2-110] 한탐학원 주변","불법주정차구역"
"대치동 966-4","37.50402","127.06181","강남구","[대치2-111] 휘문중고등학교 주변","불법주정차구역"
"대치동 1009","37.50262","127.06778","강남구","[대치2-113] 렉서스강남전시장 주변","불법주정차구역"
"대치동 996-16","37.50813","127.06534","강남구","[대치2-114] 육안빌딩 주변","불법주정차구역"
"대치동 936","37.49759","127.05247","강남구","[대치4-101] 올리브영 주변","불법주정차구역"
"대치동 941-18","37.49891","127.06052","강남구","[대치4-103] 은마아파트입구R 주변","불법주정차구역"
"대치동 889-11","37.50465","127.05021","강남구","[대치4-104] 선릉역1번출구 주변","불법주정차구역"
"대치동 907-7","37.50117","127.05256","강남구","[대치4-105] 성진빌딩 주변","불법주정차구역"
"대치동 910-5","37.50188","127.05518","강남구","[대치4-106] 풍림아이원아파트 주변","불법주정차구역"
"도곡동 902-4","37.48671","127.03934","강남구","[도곡1-103] 대림상가 주변","불법주정차구역"
"도곡동 953-1","37.48531","127.03467","강남구","[도곡1-106] 양재SK허브프리모 주변","불법주정차구역"
"도곡동 902-8","37.48732","127.03784","강남구","[도곡1-107] 쌍용예가아파트 주변","불법주정차구역"
"도곡동 467-6","37.48785","127.05172","강남구","[도곡2-101] 대림아크로빌 주변","불법주정차구역"
"도곡동 465","37.48635","127.0507","강남구","[도곡2-104] 개포우성4차A상가 주변","불법주정차구역"
"도곡동 467-29","37.48772","127.05315","강남구","[도곡2-105] 타워팰리스G동 주변","불법주정차구역"
"도곡동 527-5","37.49483","127.05345","강남구","[도곡2-106] 도곡렉슬아파트 주변","불법주정차구역"
"삼성동 159","37.50996","127.05841","강남구","[삼성1-104] 도심공항타워빌딩 주변","불법주정차구역"
"삼성동 159","37.51174","127.06121","강남구","[삼성1-109] 코엑스 주변","불법주정차구역"
"삼성동 159-9","37.50922","127.06259","강남구","[삼성1-111] 삼성역6번 출구 주변","불법주정차구역"
"삼성동 168-3","37.50996","127.0629","강남구","[삼성1-112] 삼성역7번 출구 주변","불법주정차구역"
"삼성동 168-12","37.50933","127.0639","강남구","[삼성1-113] 삼성역8번 출구 주변","불법주정차구역"
"삼성동 147-15","37.51251","127.05671","강남구","[삼성1-114] 흑돈가 주변","불법주정차구역"
"삼성동 167","37.51128","127.0622","강남구","[삼성1-116] 현대글로비스본사 주변","불법주정차구역"
"삼성동 55","37.51883","127.05282","강남구","[삼성1-123] 진흥상가 주변","불법주정차구역"
"삼성동 49-9","37.51235","127.05043","강남구","[삼성2-106] 영상빌딩 주변","불법주정차구역"
"삼성동 142-46","37.50589","127.05269","강남구","[삼성2-108] 암천빌딩 주변","불법주정차구역"
"삼성동 143-35","37.50631","127.05277","강남구","[삼성2-115] 현대타워 주변","불법주정차구역"
"삼성동 2","37.51676","127.04251","강남구","[삼성2-201] 서광아파트담장 주변","불법주정차구역"
"율현동 110","37.47091","127.11864","강남구","[세곡-101] 자동차매매시장4 주변","불법주정차구역"
"율현동 110","37.46986","127.11918","강남구","[세곡-105] 자동차매매시장5 주변","불법주정차구역"
"율현동 122-5","37.46774","127.12007","강남구","[세곡-106] 자동차매매시장6 주변","불법주정차구역"
"세곡동 529","37.4692","127.09164","강남구","[세곡-109] 세명초등학교 주변","불법주정차구역"
"율현동 185-1","37.47415","127.10925","강남구","[세곡-112] 율현초등학교 주변","불법주정차구역"
"세곡동 515","37.46327","127.10366","강남구","[세곡-114] 리엔파크프라자 주변","불법주정차구역"
"수서동 714","37.48846","127.10229","강남구","[수서-102] 로얄프라자빌딩 주변","불법주정차구역"
"신사동 539-10","37.48856","127.10053","강남구","[신사-103] 진우빌딩 주변","불법주정차구역"
"신사동 502-5","37.48523","127.10392","강남구","[신사-105] MI타워 주변","불법주정차구역"
"신사동 564","37.52169","127.02659","강남구","[신사-111] 신사7호공영주차장 주변","불법주정차구역"
"신사동 554","37.52151","127.02362","강남구","[신사-112] 정인빌딩 주변","불법주정차구역"
"신사동 548-4","37.5239","127.02316","강남구","[신사-114] 훈지빌딩 주변","불법주정차구역"
"신사동 550-11","37.52319","127.02332","강남구","[신사-214] 신구초등학교 주변","불법주정차구역"
"신사동 666-11","37.52341","127.039","강남구","[압구정-107] 학동사거리 주변","불법주정차구역"
"신사동 632","37.52397","127.03407","강남구","[압구정-119] 압구정하이츠파크입구 주변","불법주정차구역"
"역삼동 826-37","37.49521","127.03089","강남구","[역삼1-101] 쌍용플래티넘밸류 주변","불법주정차구역"
"역삼동 644-18","37.50124","127.03514","강남구","[역삼1-104] 머큐어쏘도베호텔 주변","불법주정차구역"
"역삼동 737","37.50025","127.03584","강남구","[역삼1-107] 강남파이낸스센터 주변","불법주정차구역"
"역삼동 738-9","37.49924","127.03749","강남구","[역삼1-108] 씨앤씨빌딩 주변","불법주정차구역"
"역삼동 688","37.50764","127.03921","강남구","[역삼1-110] GS칼텍스 주변","불법주정차구역"
"역삼동 701-14","37.50417","127.04367","강남구","[역삼1-114] 상록플라자 주변","불법주정차구역"
"역삼동 773-8","37.49675","127.04533","강남구","[역삼2-104] 유진약국 주변","불법주정차구역"
"역삼동 705-9","37.50436","127.04772","강남구","[역삼1-119] 선릉역5번출구 주변","불법주정차구역"
"역삼동 646-20","37.50036","127.03469","강남구","[역삼1-121] 역삼역4번출구 주변","불법주정차구역"
"역삼동 653-3","37.50843","127.03843","강남구","[역삼1-125] 경복아파트R 주변","불법주정차구역"
"역삼동 649-10","37.49921","127.02972","강남구","[역삼1-130] 서림빌딩 주변","불법주정차구역"
"역삼동 717","37.50009","127.03889","강남구","[역삼2-101] 금융결제원본사 주변","불법주정차구역"
"역삼동 755-10","37.50034","127.05076","강남구","[역삼2-103] 도성초교R 주변","불법주정차구역"
"삼성동 156-5","37.50857","127.05593","강남구","[삼성1-110] 리칭(삼성본점) 주변","불법주정차구역"
"역삼동 829-15","37.50875","127.06204","강남구","[역삼1-118] 역삼초교R 주변","불법주정차구역"
"역삼동 783-21","37.49445","127.04469","강남구","[역삼2-111] 강남세브란스교수연구동 주변","불법주정차구역"
"역삼동 719-9","37.50102","127.04022","강남구","[역삼2-115] 양자강 주변","불법주정차구역"
"일원동 687","37.48913","127.08178","강남구","[일원1-104] 삼성의료원앞R 주변","불법주정차구역"
"일원동 639-7","37.49554","127.0857","강남구","[일원1-105] 원일빌딩 주변","불법주정차구역"
"대치동 18-11","37.49805","127.07452","강남구","[일원2-105] 대치교동측 주변","불법주정차구역"
"수서동 590","37.48234","127.09441","강남구","[일원본-104] 그린프라자 주변","불법주정차구역"
"청담동 78-18","37.52743","127.0416","강남구","[청담-101] YBM청담빌딩 주변","불법주정차구역"
"청담동 47-4","37.51892","127.04987","강남구","[청담-105] 청담역8번출구 주변","불법주정차구역"
"역삼동 788","37.49345","127.04059","강남구","[역삼2-105] 역삼청소년수련관 주변","불법주정차구역"
"청담동 118-2","37.52627","127.0472","강남구","[청담-112] 송은아트스페이스 주변","불법주정차구역"
"청담동 134-21","37.52087","127.05899","강남구","[청담-118] 청담삼익아파트 주변","불법주정차구역"
"청담동 94","37.52573","127.04337","강남구","[청담-131] 이니그마빌 주변","불법주정차구역"
"청담동 4-1","37.52316","127.04475","강남구","[청담-133] 피엔폴루스뒷길 주변","불법주정차구역"
"청담동 141-1","37.52765","127.04414","강남구","[청담-134] 청담매스터빌 주변","불법주정차구역"
"청담동 91","37.52425","127.04134","강남구","[청담-135] 승원빌딩 주변","불법주정차구역"
"청담동 57-2","37.52389","127.05161","강남구","[청담-136] 아트인빌딩 주변","불법주정차구역"
"청담동 13-1","37.52315","127.04553","강남구","[청담-137] 새벽별비전센터 주변","불법주정차구역"
"청담동 66","37.52004","127.05243","강남구","[청담-138] 청담공원 주변","불법주정차구역"
"논현동 225-5","37.51143","127.0358","강남구","[논현2-120] 자동차전시장빌딩주변","불법주정차구역"
"논현동 225-3","37.51172","127.03564","강남구","[논현2-111] 서울비전 주변","불법주정차구역"
"개포동 12 주변","37.49565","127.07776","강남구","[일원2-107] 대청아파트 주변","불법주정차구역"
"역삼동666-2","37.50475","127.03659","강남구","[역삼1-132] 충현1공원 주변","불법주정차구역"
"도곡동 91","37.49052","127.0541","강남구","[도곡2-110] 숙명여고 정문 주변","불법주정차구역"
"역삼동 615-4","37.50449","127.02767","강남구","[역삼1-133] 르메르디앙호텔 주변","불법주정차구역"
"일원동 184-13","37.48673","127.08271","강남구","[일원본-105] 삼성서울병원 정문 주변","불법주정차구역"
"신월동 198-5","37.49058","127.0614","강남구","[대치1-115] 대치초등학교 정문 주변","불법주정차구역"
"청담동 35-48","37.51876","127.04558","강남구","[청담-139] 한신오페라하우스2차 주변","불법주정차구역"
"신사동 534-18","37.52075","127.02284","강남구","[신사-115] 태명빌딩 주변","불법주정차구역"
"역삼동 836","37.49201","127.03241","강남구","[역삼1-134] 역삼한스빌아파트 주변","불법주정차구역"
"대치동 989-10","37.49888","127.06287","강남구","[대치2-115] 은마아프트 북문앞 주변","불법주정차구역"
"청담동 23","37.5219","127.04135","강남구","[청담-129] 청담현대2차아파트 주변","불법주정차구역"
"역삼동 680-1","37.50835","127.04032","강남구","[역삼1-124] 라움 주변","불법주정차구역"
"일원동 683","37.49099","127.08099","강남구","[일원1-106] 영희초교앞R 주변","불법주정차구역"
