"고정형CCTV지번주소","위도","경도","자치구","단속지점명","현장구분"
"서울 강동구 상일동 121","37.556539","127.165508 ","강동구","상일파출소 앞","불법주정차구역"
"서울 강동구 명일동 296-1","37.552208","127.146122 ","강동구","고명초교 앞","불법주정차구역"
"서울 강동구 상일동 121","37.5538009079588","127.166030545194","강동구","고현초교 앞","불법주정차구역"
"암사동 501","37.55119324","127.1280899","강동구","암사역1번출구","불법주정차구역"
"길동 391-5","37.53795242","127.1402817","강동구","길동역(시민당약국건너편)","불법주정차구역"
"길동 391-5","37.53789139","127.1402664","강동구","길동역(시민당약국건너편)-보조","불법주정차구역"
"천호동 454-14","37.53813553","127.1259232","강동구","천호이마트앞","불법주정차구역"
"길동 413-45","37.53553009","127.1389084","강동구","길동역 내고향 앞","불법주정차구역"
"길동 411-1","37.53665924","127.1397934","강동구","길동역3번출구 앞(남경빌딩)","불법주정차구역"
"길동 320-4","37.54451752","127.1427383","강동구","굽은다리역4번출구(만경빌딩)","불법주정차구역"
"암사동 512-17","37.5501442","127.1272659","강동구","암사역3번출구 앞","불법주정차구역"
"암사동 512-17","37.55008698","127.1272888","강동구","암사역3번출구앞-보조","불법주정차구역"
"명일동 46-6","37.55417252","127.1563263","강동구","명일이마트앞","불법주정차구역"
"천호동 572","37.53847885","127.124794","강동구","천호역5번출구(현대백화점)","불법주정차구역"
"천호동 429-2","37.5396347","127.1239319","강동구","롯데리아 천호역점 앞","불법주정차구역"
"천호동 458-3","37.53928757","127.1223145","강동구","현대오일뱅크 앞","불법주정차구역"
"성내동 450-43","37.52367783","127.1343918","강동구","한국전력 건너편","불법주정차구역"
"성내동 450-41","37.52590179","127.1352158","강동구","삼오빌딩 앞(둔촌역)","불법주정차구역"
"성내동 450-40","37.52671814","127.1355515","강동구","강동농협 둔촌역지점 앞","불법주정차구역"
"성내동 416-7","37.52825165","127.136116","강동구","둔촌역4번출구 앞","불법주정차구역"
"길동 462","37.53634262","127.1345978","강동구","강동성심병원 건너편","불법주정차구역"
"길동 383-9","37.53900528","127.1362762","강동구","동부교통 맞은편(동명빌딩)","불법주정차구역"
"천호동 51-7","37.54116821","127.1406479","강동구","남해빌딩 옆","불법주정차구역"
"상일동 121","37.55683136","127.168663","강동구","상일동역5번출구 앞","불법주정차구역"
"길동 158","37.54050827","127.1481781","강동구","신동아아파트상가 앞","불법주정차구역"
