"고정형CCTV지번주소","위도","경도","자치구","단속지점명","현장구분"
"방배본동 19-3","37.49549785","126.9888396","서초구","서래초병설유치원주변","불법주정차구역"
"방배1동 906-13","37.48356591","126.9970697","서초구","서리풀e편한세상APT 주변","불법주정차구역"
"방배1동 906-16","37.4845306","126.9974125","서초구","서리풀e편한세상APT2번출구주변","불법주정차구역"
"반포4동 51-5","37.50127691","127.0113111","서초구","서석빌딩사거리 주변","불법주정차구역"
"서초2동 1325-1","37.49308529","127.0241546","서초구","서운중학교뒷길 주변","불법주정차구역"
"양재1동 25-3","37.48150364","127.0370513","서초구","서울가정행정법원 주변","불법주정차구역"
"서초1동 1627-1","37.48902738","127.0167153","서초구","서울교대정문주변","불법주정차구역"
"방배2동 447-7","37.47682838","126.9847732","서초구","서울메트로뒷길 주변","불법주정차구역"
"서초3동 1704","37.49471875","127.0102979","서초구","서울중앙법원주변","불법주정차구역"
"내곡동 (신원동) 247","37.44782281","127.0574218","서초구","서울청계숲유치원주변","불법주정차구역"
"반포1동 30-8","37.50183789","127.0154882","서초구","서원초등학교 주변","불법주정차구역"
"반포1동 30-8","37.5025285","127.0141802","서초구","서원초등학교 후문주변","불법주정차구역"
"서초4동 1313","37.49847969","127.023503","서초구","서일중학교 주변","불법주정차구역"
"서초1동 1436-8","37.48474749","127.0235212","서초구","서일초교 후문주변","불법주정차구역"
"서초1동 1436-8","37.48466208","127.0220002","서초구","서일초등학교 주변","불법주정차구역"
"방배1동 908-9","37.48216683","126.9972375","서초구","서초프라자약국주변","불법주정차구역"
"서초3동 1454-32","37.48265919","127.0149745","서초구","서초한신APT102동주변","불법주정차구역"
"양재1동 594-20","37.45748485","127.0149641","서초구","서초힐스아파트삼거리주변","불법주정차구역"
"서초1동 1641-13","37.49323481","127.0213424","서초구","석문유치원주변","불법주정차구역"
"서초4동 1692-1","37.49453404","127.0141669","서초구","설국일식 주변","불법주정차구역"
"양재1동 729","37.46274042","127.0268234","서초구","섬들근린공원주변","불법주정차구역"
"방배2동 425-1","37.48436225","126.9829792","서초구","세양아르비채 주변","불법주정차구역"
"반포4동 118-15","37.50340053","127.0060592","서초구","센트럴시티 버스정류장주변","불법주정차구역"
"양재2동 288","37.47447453","127.0479235","서초구","소호정신관주변","불법주정차구역"
"반포4동 93-6","37.49930382","126.9983302","서초구","스타벅스 부근","불법주정차구역"
"반포1동 748-14","37.50423467","127.0235124","서초구","신논현역1번출구주변","불법주정차구역"
"잠원동 54-5","37.51627419","127.0119599","서초구","신동초등학교 주변","불법주정차구역"
"서초2동 1339-4","37.4898035","127.0304243","서초구","신라스테이호텔주변","불법주정차구역"
"반포4동 94-8","37.49866124","126.9983968","서초구","명궁빌딩","불법주정차구역"
"잠원동 49-17","37.52076683","127.0136495","서초구","신반포 18차 APT 토끼굴 부근","불법주정차구역"
"반포2동 18-4","37.50319322","126.9952275","서초구","신반포역4번출구주변","불법주정차구역"
"반포3동 66","37.50985598","127.0076644","서초구","신반포자이 정문주변","불법주정차구역"
"반포3동 66-10","37.50867679","127.0083134","서초구","신반포자이 타이어프로주변","불법주정차구역"
"잠원동 60-79","37.51036972","127.0127608","서초구","신반포 중앙교회 주변","불법주정차구역"
"잠원동 20-6","37.51558087","127.0196919","서초구","신사역4번출구 주변","불법주정차구역"
"반포4동 19-3","37.50592469","127.0043518","서초구","신세계백화점앞 주변","불법주정차구역"
"서초3동 1596-6","37.48780889","127.0127467","서초구","신영빌딩 주변","불법주정차구역"
"서초3동 1484-14","37.4821313","127.01052","서초구","신중어린이공원주변","불법주정차구역"
"서초3동 1466-5","37.48041344","127.010568","서초구","신중초등학교정문주변","불법주정차구역"
"잠원동 25-24","37.51362071","127.0182325","서초구","싸리재공원 삼거리 부근","불법주정차구역"
"잠원동 30-10","37.51366527","127.018562","서초구","싸리재공원 주변","불법주정차구역"
"방배4동 860-6","37.48796971","126.9870586","서초구","서울형어린이집","불법주정차구역"
"서초3동 1554-5","37.49291343","127.0110802","서초구","아스트라빌딩 주변","불법주정차구역"
"잠원동 64-8","37.51351894","127.0067169","서초구","아크로리버뷰 102동주변1","불법주정차구역"
"잠원동 64-8","37.51508925","127.008321","서초구","아크로리버뷰 104동주변2","불법주정차구역"
"서초4동 1685-3","37.49675846","127.0129838","서초구","아크로비스타 주변","불법주정차구역"
"반포1동 32-8","37.49943522","127.0124814","서초구","아크로비스타아케이드주변","불법주정차구역"
"서초2동 1329-9","37.49282865","127.0292378","서초구","알파약국 주변","불법주정차구역"
"양재2동 309","37.47296744","127.0421538","서초구","양재근린공원주변","불법주정차구역"
"양재1동 84","37.48085922","127.0420262","서초구","양재동삼성화재주변","불법주정차구역"
"양재1동 11-149","37.48495636","127.037474","서초구","양재동우체국주변","불법주정차구역"
"양재2동 212","37.46615286","127.0363235","서초구","양재리본타워2단지앞주변","불법주정차구역"
