"고정형CCTV지번주소","위도","경도","자치구","단속지점명","현장구분"
"송파구 신천동 29","37.5134201","127.1013947","송파구","잠실역1번출구 주변","불법주정차구역"
"송파구 문정동 150-4","37.49119568","127.1144943","송파구","가락시장GS칼텍스 주변","불법주정차구역"
"송파구 문정동 150-5","37.49085999","127.1134262","송파구","훼밀리근린공원주변","불법주정차구역"
"송파구 거여2동 36-6","37.49305725","127.1460953","송파구","거여역4번출구 주변","불법주정차구역"
"송파구 거여동 21-5","37.49378967","127.1432495","송파구","거여역1번출구 주변","불법주정차구역"
"송파구 마천동 115-4","37.49723053","127.1475525","송파구","송파농협거마지점 주변","불법주정차구역"
"송파구 가락동 167-3","37.49751282","127.1356049","송파구","개롱역3번출구 주변","불법주정차구역"
"송파구 석촌동 10-6","37.50404358","127.0972366","송파구","삼학사로 현빌딩 주변","불법주정차구역"
"송파구 석촌동 14-12","37.50272751","127.0986786","송파구","석촌지하차도(석촌주유소) 주변","불법주정차구역"
"송파구 삼전동 180-3","37.50234985","127.0966034","송파구","배명사거리 주변","불법주정차구역"
"송파구 삼전동 101-12","37.50304413","127.0932083","송파구","송파구민회관 주변","불법주정차구역"
"송파구 잠실동 184-5","37.51143265","127.0847702","송파구","잠실새내역4번출구 주변","불법주정차구역"
"송파구 잠실동 35-2","37.51038361","127.0861664","송파구","잠실트리지움상가 주변","불법주정차구역"
"송파구 문정동 150-26","37.49172974","127.1165161","송파구","가락시장롯데마트 주변","불법주정차구역"
"송파구 방이동 132-8","37.51060867","127.1210938","송파구","SK주유소(오금로) 주변","불법주정차구역"
"송파구 잠실동 40-1","37.51218796","127.1005859","송파구","롯데호텔 주변","불법주정차구역"
"송파구 방이동 180-3","37.51529312","127.1155014","송파구","올림픽타워빌 주변","불법주정차구역"
"송파구 가락동 16-18","37.50033188","127.1249466","송파구","성원빌딩 주변","불법주정차구역"
"송파구 가락동 50-7","37.49912643","127.1224747","송파구","대신자동차공업사 주변","불법주정차구역"
"송파구 가락동 70","37.49750137","127.1194839","송파구","유일빌딩사거리 주변","불법주정차구역"
"송파구 석촌동 272-8","37.50049973","127.1054993","송파구","농협석촌지점 주변","불법주정차구역"
"송파구 풍납동 406-1","37.528913","127.117351","송파구","태양상가 주변","불법주정차구역"
"송파구 석촌동 296","37.50142288","127.1085358","송파구","엄마손백화점 주변","불법주정차구역"
"송파구 오금동 78-3","37.50466156","127.1351776","송파구","미도빌딩 주변","불법주정차구역"
"송파구 가락동 199","37.493392","127.134065","송파구","가락프라자상가주차장 주변","불법주정차구역"
"송파구 마천동 34","37.4986763","127.1456909","송파구","신일교회 주변","불법주정차구역"
"송파구 방이동 149-3","37.51272583","127.1138992","송파구","현대오일뱅크(남성주유소) 주변","불법주정차구역"
"송파구 방이동 126-1","37.50983047","127.1180573","송파구","동원빌딩 주변","불법주정차구역"
"송파구 방이동 207-6","37.50924301","127.1247787","송파구","태웅빌딩 주변","불법주정차구역"
"송파구 오금동 17","37.50934601","127.1267548","송파구","방이역1번출구 주변","불법주정차구역"
"송파구 석촌동 256","37.50017548","127.1042557","송파구","금강빌딩 주변","불법주정차구역"
"송파구 삼전동 3-4","37.50637054","127.0898972","송파구","근화빌딩 주변","불법주정차구역"
"송파구 풍납동 490-6","37.53448868","127.1217194","송파구","원성빌딩 주변","불법주정차구역"
"송파구 잠실동 40-1","37.51192856","127.0952377","송파구","롯데마트주차장입구 주변","불법주정차구역"
"송파구 문정동 150-17","37.49023819","127.1114349","송파구","문정동우체국앞 주변","불법주정차구역"
"송파구 잠실동 294-32","37.50619507","127.0811768","송파구","아시아선수촌삼거리 (구송파등기소)주변","불법주정차구역"
"송파구 잠실동 196","37.509946","127.07912","송파구","올림피아빌딩 주변","불법주정차구역"
"송파구 잠실동 340-1","37.503271","127.086809","송파구","SK복지잠실충전소","불법주정차구역"
"송파구 잠실동 335-2","37.50488281","127.085701","송파구","고광빌딩 주변","불법주정차구역"
"송파구 신천동 29-5","37.5144577","127.1069336","송파구","송파구청차량출구 주변","불법주정차구역"
"송파구 가락동 112-2","37.4943428","127.1224747","송파구","쌍둥이빌딩 주변","불법주정차구역"
"송파구 삼전동 28-11","37.50389481","127.0892105","송파구","에스엔씨빌딩 주변","불법주정차구역"
"송파구 삼전동 1-1","37.50727844","127.0916901","송파구","신원빌딩 주변","불법주정차구역"
"송파구 가락동 49-5","37.49744415","127.1213379","송파구","삼주빌딩 주변","불법주정차구역"
"송파구 가락동 137-5","37.492646","127.127881","송파구","한흥빌딩 주변","불법주정차구역"
"송파구 가락동 164-21","37.49639893","127.131485","송파구","송파중교사거리 주변","불법주정차구역"
"송파구 송파동 59","37.51120758","127.109726","송파구","송파동 59 주변","불법주정차구역"
"송파구 송파동 147-6","37.50718307","127.1177597","송파구","삼성AS센터 송파점 주변","불법주정차구역"
"송파구 삼전동 181-6","37.50055313","127.0967255","송파구","해광빌딩 주변","불법주정차구역"
"송파구 오금동 133-24","37.50221252","127.1404114","송파구","덕산빌딩 주변","불법주정차구역"
"송파구 오금동 151-2","37.50051117","127.1368332","송파구","오주중정문 주변","불법주정차구역"
"송파구 문정동 9-1","37.49061584","127.1272659","송파구","래미안빌딩 주변","불법주정차구역"
"송파구 송파동 103-27","37.50350189","127.1135941","송파구","동우빌딩 주변","불법주정차구역"
"송파구 풍납동 388-7","37.526673","127.114583","송파구","잠실송파세무서주변","불법주정차구역"
"송파구 신천동 17","37.52029419","127.1048126","송파구","파크리오A상가(105동) 주변","불법주정차구역"
"송파구 신천동 17","37.52089691","127.1049118","송파구","파크리오A상가(107동) 주변","불법주정차구역"
"송파구 신천동 17","37.52167511","127.1045151","송파구","잠현초교 주변","불법주정차구역"
"송파구 신천동 20-5","37.5200119","127.1125183","송파구","잠실4동주민센터 주변","불법주정차구역"
"송파구 송파동 20-4","37.50696945","127.109436","송파구","원윤빌딩 주변","불법주정차구역"
"송파구 방이동 52-1","37.51371384","127.1141663","송파구","웅산빌딩 주변","불법주정차구역"
"송파구 잠실동 234-18","37.50537109","127.0849915","송파구","명성빌딩 주변","불법주정차구역"
"송파구 오금동 42-12","37.50775909","127.1278687","송파구","오금현대234차A입구 주변","불법주정차구역"
"송파구 풍납동 480","37.51139","127.11004","송파구","풍납전통시장입구 주변","불법주정차구역"
"송파구 잠실동 39","37.51258469","127.0981827","송파구","잠실롯데월드버스정류장 주변","불법주정차구역"
"송파구 삼전동 53-11","37.49978638","127.0892487","송파구","월드빌라 주변","불법주정차구역"
"송파구 신천동 7-13","37.51691055","127.1002731","송파구","잠실 삼성SDS타워앞주변","불법주정차구역"
"송파구 잠실동 44","37.51011276","127.0932236","송파구","레이크팰리스(잠실삼거리) 주변","불법주정차구역"
"송파구 잠실동 47","37.5097847","127.0977173","송파구","서울놀이마당 주변","불법주정차구역"
"송파구 신천동 29-5","37.51480484","127.1053925","송파구","송파구청(교통회관방면)주변","불법주정차구역"
