지역,번지,본번,부번,아파트,면적,계약년월,계약일,가격,층,건축년도,도로명
강원도 강릉시 견소동,202,202,0,송정한신,59.8,202206,14,23000,8,1997,경강로2539번길 8
강원도 강릉시 견소동,202,202,0,송정한신,39.08,202206,17,15800,6,1997,경강로2539번길 8
강원도 강릉시 견소동,289,289,0,송정해변신도브래뉴아파트,59.99,202206,3,29600,15,2005,경강로2539번길 22
강원도 강릉시 견소동,289,289,0,송정해변신도브래뉴아파트,84.99,202206,22,35800,6,2005,경강로2539번길 22
강원도 강릉시 교동,1750,1750,0,교동1주공,59.89,202206,2,32500,14,1999,가작로 78
강원도 강릉시 교동,1750,1750,0,교동1주공,59.89,202206,3,30000,9,1999,가작로 78
강원도 강릉시 교동,1766,1766,0,교동3주공,59.84,202206,8,33000,7,2002,교동광장로 138-12
강원도 강릉시 교동,834,834,0,덕진,40.86,202206,28,8300,5,1988,옛강일길 28
강원도 강릉시 교동,1780,1780,0,부영3차,84.93,202206,3,37000,11,2001,하슬라로 124
강원도 강릉시 교동,1762,1762,0,부영5,84.93,202206,8,40000,12,2001,교동광장로 163
강원도 강릉시 교동,1762,1762,0,부영5,84.93,202206,11,43000,14,2001,교동광장로 163
강원도 강릉시 교동,Mar-37,37,3,예성그린1,56.16,202206,4,12800,3,1995,가작로252번길 22
강원도 강릉시 교동,Jan-46,46,1,한신,59.84,202206,6,25500,11,1997,명륜로 95-7
강원도 강릉시 교동,828-19,828,19,현대,71.175,202206,4,19000,15,1992,옛강일길 41
강원도 강릉시 교동,828-19,828,19,현대,84.945,202206,17,19700,15,1992,옛강일길 41
강원도 강릉시 교동,828-19,828,19,현대,84.945,202206,24,14500,2,1992,옛강일길 41
강원도 강릉시 남문동,183-2,183,2,삼익그린맨션,84.08,202206,28,19000,1,1992,홍제로 7-17
강원도 강릉시 내곡동,616,616,0,강부2,24.795,202206,9,4900,4,1988,관대길 63
강원도 강릉시 내곡동,616,616,0,강부2,24.795,202206,15,4750,3,1988,관대길 63
강원도 강릉시 내곡동,623,623,0,내곡주공,39.3,202206,20,7800,4,1989,관대길16번길 6
강원도 강릉시 내곡동,476,476,0,내곡한라,59.97,202206,9,19900,10,1997,강변로 114
강원도 강릉시 노암동,605,605,0,노암3한라,39.762,202206,14,12000,11,2000,남부로125번길 7
강원도 강릉시 노암동,605,605,0,노암3한라,74.64,202206,25,23500,11,2000,남부로125번길 7
강원도 강릉시 노암동,605,605,0,노암3한라,39.762,202206,25,12700,10,2000,남부로125번길 7
강원도 강릉시 노암동,390,390,0,노암한라,59.976,202206,22,15000,9,1994,노암길42번길 28
강원도 강릉시 송정동,1065,1065,0,강릉송정신원아침도시,84.9522,202206,8,50800,3,2020,경강로 2498
강원도 강릉시 송정동,1063,1063,0,강릉송정한신더휴,84.961,202206,29,47500,4,2019,경강로 2448
강원도 강릉시 송정동,Oct-39,39,10,삼익비치맨션,84.544,202206,29,24500,3,1992,해안로 107
강원도 강릉시 송정동,1064,1064,0,송정아이파크,84.93,202206,3,64500,16,2019,경강로 2511
강원도 강릉시 송정동,1064,1064,0,송정아이파크,84.99,202206,28,63500,18,2019,경강로 2511
강원도 강릉시 연곡면 영진리,305-2,305,2,삼우그린,30.24,202206,2,6900,8,1999,연주로 132
강원도 강릉시 연곡면 영진리,305-2,305,2,삼우그린,30.24,202206,8,4530,7,1999,연주로 132
강원도 강릉시 연곡면 영진리,12,12,0,영진부영2,59.987,202206,2,17800,7,2005,영진3길 43
강원도 강릉시 연곡면 영진리,12,12,0,영진부영2,59.987,202206,6,17300,1,2005,영진3길 43
강원도 강릉시 연곡면 영진리,12,12,0,영진부영2,84.8923,202206,13,28000,6,2005,영진3길 43
강원도 강릉시 연곡면 영진리,380,380,0,영진부영3,84.9157,202206,8,29500,7,2008,영진3길 15
강원도 강릉시 연곡면 영진리,380,380,0,영진부영3,84.9157,202206,11,29900,2,2008,영진3길 15
강원도 강릉시 연곡면 영진리,381,381,0,영진코아루비치테라스,20.7527,202206,1,12600,14,2019,홍질목길 12
