시군구,번지,본번,부번,단지명,면적,계약년월,계약일,가격,층,건축년도,도로명,해제사유발생일,거래유형,중개사소재지
강원도 강릉시 견소동,202,202,0,송정한신,59.8,202206,14,"23,000",8,1997,경강로2539번길 8,,중개거래,강원 강릉시
강원도 강릉시 견소동,202,202,0,송정한신,39.08,202206,17,"15,800",6,1997,경강로2539번길 8,,중개거래,강원 강릉시
강원도 강릉시 견소동,289,289,0,송정해변신도브래뉴아파트,59.99,202206,3,"29,600",15,2005,경강로2539번길 22,,중개거래,강원 강릉시
강원도 강릉시 견소동,289,289,0,송정해변신도브래뉴아파트,84.99,202206,22,"35,800",6,2005,경강로2539번길 22,,중개거래,강원 강릉시
강원도 강릉시 교동,1982,1982,0,강릉교동롯데캐슬1단지,135.1727,202206,26,"61,000",13,2009,화부산로99번길 12,,중개거래,강원 강릉시
강원도 강릉시 교동,1750,1750,0,교동1주공,59.89,202206,2,"32,500",14,1999,가작로 78,,중개거래,강원 강릉시
강원도 강릉시 교동,1750,1750,0,교동1주공,59.89,202206,3,"30,000",9,1999,가작로 78,,중개거래,강원 강릉시
강원도 강릉시 교동,1750,1750,0,교동1주공,84.84,202206,21,"39,500",10,1999,가작로 78,,중개거래,강원 강릉시
강원도 강릉시 교동,1750,1750,0,교동1주공,84.84,202206,23,"39,000",8,1999,가작로 78,,중개거래,강원 강릉시
강원도 강릉시 교동,1750,1750,0,교동1주공,59.89,202206,23,"29,000",12,1999,가작로 78,,중개거래,강원 강릉시
강원도 강릉시 교동,1766,1766,0,교동3주공,59.84,202206,8,"33,000",7,2002,교동광장로 138-12,,중개거래,강원 강릉시
강원도 강릉시 교동,834,834,0,덕진,40.86,202206,28,"8,300",5,1988,옛강일길 28,,중개거래,강원 강릉시
강원도 강릉시 교동,1780,1780,0,부영3차,84.93,202206,3,"37,000",11,2001,하슬라로 124,,중개거래,강원 강릉시
강원도 강릉시 교동,1762,1762,0,부영5,84.93,202206,8,"40,000",12,2001,교동광장로 163,,중개거래,강원 강릉시
강원도 강릉시 교동,1762,1762,0,부영5,84.93,202206,11,"43,000",14,2001,교동광장로 163,,중개거래,강원 강릉시
강원도 강릉시 교동,Mar-37,37,3,예성그린1,56.16,202206,4,"12,800",3,1995,가작로252번길 22,,중개거래,강원 강릉시
강원도 강릉시 교동,Jan-46,46,1,한신,59.84,202206,6,"25,500",11,1997,명륜로 95-7,,중개거래,강원 강릉시
강원도 강릉시 교동,828-19,828,19,현대,71.175,202206,4,"19,000",15,1992,옛강일길 41,,중개거래,강원 강릉시
강원도 강릉시 교동,828-19,828,19,현대,84.945,202206,17,"19,700",15,1992,옛강일길 41,,중개거래,강원 강릉시
강원도 강릉시 교동,828-19,828,19,현대,84.945,202206,24,"14,500",2,1992,옛강일길 41,,직거래,-
강원도 강릉시 남문동,183-2,183,2,삼익그린맨션,84.08,202206,28,"19,000",1,1992,홍제로 7-17,,중개거래,강원 강릉시
강원도 강릉시 내곡동,616,616,0,강부2,24.795,202206,9,"4,900",4,1988,관대길 63,,중개거래,강원 강릉시
강원도 강릉시 내곡동,616,616,0,강부2,24.795,202206,15,"4,750",3,1988,관대길 63,,중개거래,강원 강릉시
강원도 강릉시 내곡동,623,623,0,내곡주공,39.3,202206,20,"7,800",4,1989,관대길16번길 6,,중개거래,강원 강릉시
강원도 강릉시 내곡동,476,476,0,내곡한라,59.97,202206,9,"19,900",10,1997,강변로 114,,중개거래,강원 강릉시
강원도 강릉시 내곡동,476,476,0,내곡한라,84.95,202206,17,"32,000",13,1997,강변로 114,,직거래,-
강원도 강릉시 노암동,605,605,0,노암3한라,39.762,202206,14,"12,000",11,2000,남부로125번길 7,,중개거래,강원 강릉시
