시군구,번지,본번,부번,단지명,전용면적(㎡),계약년월,계약일,거래금액(만원),층,건축년도,도로명,해제사유발생일,거래유형,중개사소재지
서울특별시 강남구 개포동,658-1,658,1,개포6차우성아파트1동~8동,79.97,202204,12,"220,000",4,1987,언주로 3,,중개거래,서울 강남구
서울특별시 강남구 개포동,658-1,658,1,개포6차우성아파트1동~8동,79.97,202204,21,"220,000",2,1987,언주로 3,,중개거래,서울 강남구
서울특별시 강남구 개포동,658-1,658,1,개포6차우성아파트1동~8동,79.97,202205,27,"216,000",2,1987,언주로 3,,중개거래,서울 강남구
서울특별시 강남구 개포동,1282,1282,0,개포래미안포레스트,102.32,202204,1,"369,000",13,2020,개포로 264,,중개거래,"서울 강남구, 서울 양천구"
서울특별시 강남구 개포동,1282,1282,0,개포래미안포레스트,136.06,202205,2,"420,000",17,2020,개포로 264,,중개거래,서울 강남구
서울특별시 강남구 개포동,1282,1282,0,개포래미안포레스트,59.92,202205,12,"203,500",5,2020,개포로 264,,중개거래,서울 강남구
서울특별시 강남구 개포동,1282,1282,0,개포래미안포레스트,59.92,202205,26,"210,000",6,2020,개포로 264,,중개거래,서울 강남구
서울특별시 강남구 개포동,1282,1282,0,개포래미안포레스트,59.92,202206,17,"195,000",10,2020,개포로 264,,중개거래,서울 강남구
서울특별시 강남구 개포동,12-02,12,2,개포자이(12-2),168.42,202202,7,"246,000",2,2004,개포로109길 69,,중개거래,서울 강남구
서울특별시 강남구 개포동,185,185,0,개포주공6단지,83.21,202201,15,"280,000",8,1983,개포로 516,,중개거래,서울 강남구
서울특별시 강남구 개포동,185,185,0,개포주공6단지,73.02,202203,18,"270,000",5,1983,개포로 516,,중개거래,서울 강남구
서울특별시 강남구 개포동,185,185,0,개포주공7단지,53.46,202203,17,"211,500",4,1983,개포로 516,,중개거래,서울 강남구
서울특별시 강남구 개포동,185,185,0,개포주공7단지,73.26,202203,18,"265,000",6,1983,개포로 516,,중개거래,서울 강남구
서울특별시 강남구 개포동,649,649,0,경남1,123.28,202203,8,"343,000",4,1984,언주로 110,,중개거래,서울 강남구
서울특별시 강남구 개포동,649,649,0,경남2차,186.16,202204,19,"400,000",8,1984,언주로 110,,중개거래,서울 강남구
서울특별시 강남구 개포동,1167,1167,0,그린빌리지,197.91,202202,11,"180,000",4,1996,논현로4길 28,,중개거래,서울 서초구
서울특별시 강남구 개포동,138,138,0,디에이치아너힐즈,131.3226,202202,22,"590,000",8,2019,삼성로 11,,중개거래,서울 강남구
서울특별시 강남구 개포동,138,138,0,디에이치아너힐즈,76.1709,202204,8,"305,000",23,2019,삼성로 11,,중개거래,서울 강남구
서울특별시 강남구 개포동,138,138,0,디에이치아너힐즈,59.8732,202205,11,"238,000",28,2019,삼성로 11,,중개거래,서울 강남구
서울특별시 강남구 개포동,138,138,0,디에이치아너힐즈,59.7479,202205,14,"227,000",3,2019,삼성로 11,,중개거래,서울 강남구
서울특별시 강남구 개포동,1280,1280,0,래미안블레스티지,84.943,202201,15,"300,000",7,2019,선릉로 8,,중개거래,서울 강남구
